country_a,iso3_a,country_b,iso3_b,treaty_verified,data_source,notes
France,FRA,Ireland,IRL,,,
France,FRA,Switzerland,CHE,yes,Official public treaty source (France tax site),Manual review batch 2
France,FRA,Austria,AUT,,,
France,FRA,Germany,DEU,,,
France,FRA,United Kingdom,GBR,yes,Official public treaty source (France/UK tax site),Manual review batch 2
France,FRA,United States,USA,,,
France,FRA,Japan,JPN,,,
France,FRA,Singapore,SGP,,,
France,FRA,South Africa,ZAF,,,
France,FRA,Chile,CHL,,,
France,FRA,Mexico,MEX,,,
France,FRA,Netherlands,NLD,yes,Official public treaty source (France tax site),Manual review batch 2
France,FRA,Portugal,PRT,yes,Official public treaty source (France tax site),Manual review batch 2
Ireland,IRL,Switzerland,CHE,,,
Ireland,IRL,Austria,AUT,,,
Ireland,IRL,Spain,ESP,,,
Ireland,IRL,Germany,DEU,,,
Ireland,IRL,United Kingdom,GBR,,,
Ireland,IRL,United States,USA,,,
Ireland,IRL,Japan,JPN,,,
Ireland,IRL,Singapore,SGP,,,
Ireland,IRL,South Africa,ZAF,,,
Ireland,IRL,Chile,CHL,,,
Ireland,IRL,Mexico,MEX,,,
Ireland,IRL,Netherlands,NLD,,,
Ireland,IRL,Portugal,PRT,,,
Switzerland,CHE,Austria,AUT,,,
Switzerland,CHE,Spain,ESP,,,
Switzerland,CHE,Germany,DEU,yes,Official public treaty source (Swiss tax site),Manual review batch 2
Switzerland,CHE,United Kingdom,GBR,,,
Switzerland,CHE,United States,USA,,,
Switzerland,CHE,Japan,JPN,,,
Switzerland,CHE,Singapore,SGP,,,
Switzerland,CHE,South Africa,ZAF,,,
Switzerland,CHE,Chile,CHL,,,
Switzerland,CHE,Mexico,MEX,,,
Switzerland,CHE,Netherlands,NLD,,,
Switzerland,CHE,Portugal,PRT,,,
Austria,AUT,Spain,ESP,,,
Austria,AUT,Germany,DEU,,,
Austria,AUT,United Kingdom,GBR,,,
Austria,AUT,United States,USA,,,
Austria,AUT,Japan,JPN,,,
Austria,AUT,Singapore,SGP,,,
Austria,AUT,South Africa,ZAF,,,
Austria,AUT,Chile,CHL,,,
Austria,AUT,Mexico,MEX,,,
Austria,AUT,Netherlands,NLD,,,
Austria,AUT,Portugal,PRT,,,
Spain,ESP,United States,USA,,,
Spain,ESP,Japan,JPN,,,
Spain,ESP,Singapore,SGP,,,
Spain,ESP,South Africa,ZAF,,,
Spain,ESP,Chile,CHL,,,
Spain,ESP,Mexico,MEX,,,
Spain,ESP,Netherlands,NLD,,,
Germany,DEU,United Kingdom,GBR,,,
Germany,DEU,United States,USA,,,
Germany,DEU,Japan,JPN,,,
Germany,DEU,Singapore,SGP,,,
Germany,DEU,South Africa,ZAF,,,
Germany,DEU,Chile,CHL,,,
Germany,DEU,Mexico,MEX,,,
Germany,DEU,Portugal,PRT,,,
United Kingdom,GBR,United States,USA,,,
United Kingdom,GBR,Japan,JPN,,,
United Kingdom,GBR,Singapore,SGP,,,
United Kingdom,GBR,South Africa,ZAF,,,
United Kingdom,GBR,Chile,CHL,,,
United Kingdom,GBR,Mexico,MEX,,,
United Kingdom,GBR,Netherlands,NLD,,,
United Kingdom,GBR,Portugal,PRT,,,
United States,USA,Japan,JPN,,,
United States,USA,Singapore,SGP,,,
United States,USA,South Africa,ZAF,,,
United States,USA,Chile,CHL,,,
United States,USA,Mexico,MEX,,,
United States,USA,Netherlands,NLD,,,
United States,USA,Portugal,PRT,,,
Japan,JPN,Singapore,SGP,,,
Japan,JPN,South Africa,ZAF,,,
Japan,JPN,Chile,CHL,,,
Japan,JPN,Mexico,MEX,,,
Japan,JPN,Netherlands,NLD,,,
Japan,JPN,Portugal,PRT,,,
Singapore,SGP,South Africa,ZAF,,,
Singapore,SGP,Chile,CHL,,,
Singapore,SGP,Mexico,MEX,,,
Singapore,SGP,Netherlands,NLD,,,
Singapore,SGP,Portugal,PRT,,,
South Africa,ZAF,Chile,CHL,,,
South Africa,ZAF,Mexico,MEX,,,
South Africa,ZAF,Netherlands,NLD,,,
South Africa,ZAF,Portugal,PRT,,,
Chile,CHL,Mexico,MEX,,,
Chile,CHL,Netherlands,NLD,,,
Chile,CHL,Portugal,PRT,,,
Mexico,MEX,Netherlands,NLD,,,
Mexico,MEX,Portugal,PRT,,,
Netherlands,NLD,Portugal,PRT,,,
